sample_id,sleepprotocol,hoursawake,circadianphase,ARNTL,NR1D1,PER3,ATF1,PUF60,EIF3M
GSM968929,Sleep Restriction,10.5,-9,18249.0,9050.5,3556.5,329.5,5506.0,15563.5
GSM968930,Sleep Restriction,13.5,-6,21301.0,13056.0,4241.5,387.5,8042.0,19466.5
GSM968931,Sleep Restriction,16.5,-3,18643.0,12055.0,4242.5,355.5,6852.0,17952.0
GSM968932,Sleep Restriction,19.5,0,19114.5,11577.5,4584.0,407.0,7912.5,20124.0
GSM968933,Sleep Restriction,22.5,3,19637.5,12238.0,4447.5,386.0,8403.0,18989.0
GSM968934,Sleep Restriction,28.5,9,20270.0,14939.0,4227.5,331.0,6228.0,13381.0
GSM968935,Sleep Restriction,31.5,12,24152.0,12909.5,4127.5,388.0,7002.0,15751.5
GSM968936,Sleep Restriction,34.5,15,20070.0,10212.5,3994.5,345.0,6486.0,13327.5
GSM968937,Sleep Extension,7.5,-12,25730.0,19151.0,6364.0,467.0,5853.0,18702.0
GSM968938,Sleep Extension,10.5,-9,13499.5,12336.0,4507.0,259.0,3524.0,10280.0
GSM968939,Sleep Extension,13.5,-6,31765.5,28844.0,6847.5,507.5,7064.5,21336.0
GSM968940,Sleep Extension,16.5,-3,29209.5,25257.5,6770.5,385.0,8640.5,19673.0
GSM968941,Sleep Extension,19.5,0,30623.0,31712.0,7598.0,494.0,6823.5,23333.5
GSM968942,Sleep Extension,22.5,3,22381.5,27205.5,6993.0,390.0,5439.5,15933.0
GSM968943,Sleep Extension,25.5,6,30771.5,27254.0,6531.5,433.0,7273.5,24024.5
GSM968944,Sleep Extension,28.5,9,27869.5,22451.0,5987.0,405.0,7621.0,18465.5
GSM968945,Sleep Extension,31.5,12,47167.0,25497.0,7592.5,656.0,12104.0,29316.0
GSM968946,Sleep Extension,34.5,15,28013.5,20417.0,5864.0,347.0,6440.5,17010.0
GSM968947,Sleep Restriction,7.5,-12,18601.5,20434.5,5961.0,515.0,4904.5,15044.0
GSM968948,Sleep Restriction,10.5,-9,18576.5,24292.0,6102.5,383.0,4247.5,13018.0
GSM968949,Sleep Restriction,13.5,-6,32614.5,21442.5,6276.5,471.0,7127.5,23459.0
GSM968950,Sleep Restriction,16.5,-3,29968.0,20923.0,6325.5,467.0,5772.0,23953.0
GSM968951,Sleep Restriction,19.5,0,29311.5,18027.5,6444.0,465.0,7565.0,25106.0
GSM968952,Sleep Restriction,22.5,3,30947.0,20002.0,7016.0,509.5,7830.0,28307.5
GSM968953,Sleep Restriction,25.5,6,41258.0,22093.0,7333.5,484.0,8813.0,35116.3
GSM968954,Sleep Restriction,28.5,9,30818.5,18375.5,5883.5,354.5,6961.0,18712.5
GSM968955,Sleep Restriction,31.5,12,26205.5,18284.0,5752.5,369.5,6399.5,15719.0
GSM968956,Sleep Restriction,34.5,15,22048.0,18223.5,5475.0,340.0,4969.0,16249.0
GSM968957,Sleep Extension,7.5,-12,13795.5,17287.0,5455.5,298.0,4711.0,10269.5
GSM968958,Sleep Extension,10.5,-9,17288.5,18021.5,5981.5,353.5,5975.0,14421.0
GSM968959,Sleep Extension,13.5,-6,16037.0,10378.0,5200.5,318.0,5708.0,13648.5
GSM968960,Sleep Extension,16.5,-3,24291.5,19038.5,6457.5,313.0,8055.0,21095.5
GSM968961,Sleep Extension,19.5,0,20041.5,14471.5,6284.5,330.5,5786.0,16744.0
GSM968962,Sleep Extension,22.5,3,28928.5,22100.5,7899.5,516.0,10354.5,30560.0
GSM968963,Sleep Extension,25.5,6,26143.5,22948.5,7052.0,355.0,7583.5,16882.5
